City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Hithadhoo,-0.6,73.0833,27.05,83,34,6.6,MV,1699669366
81,Keflavik,64.0049,-22.5624,2.24,93,75,3.09,IS,1699669366
82,Maribondo,-9.5772,-36.3053,20.79,91,0,2.61,BR,1699669342
83,Pacific Grove,36.6177,-121.9166,16.25,53,0,2.06,US,1699669366
84,Champerico,14.3,-91.9167,27.62,79,47,3.46,GT,1699669366
85,Ilulissat,69.2167,-51.1,-5.99,68,100,6.69,GL,1699669367
86,Xigazê,29.25,88.8833,1.74,54,0,1.2,CN,1699669367
87,Dvinskoy Bereznik,62.8551,42.7072,1.65,93,100,4.03,RU,1699669367
88,Mil’kovo,55.6078,37.7956,5.23,86,91,4.13,RU,1699669367
89,Whitehorse,60.7161,-135.0538,-0.55,100,100,2.06,CA,1699669367
90,Wailua Homesteads,22.0669,-159.378,28.24,83,75,5.14,US,1699669368
91,Xichang,27.8964,102.2634,14.33,69,1,0.58,CN,1699669368
92,Constitución,-35.3333,-72.4167,12.16,89,84,3.66,CL,1699669368
93,Puerto Peñasco,31.3167,-113.5333,20.51,38,0,1.34,MX,1699669369
94,Ghadames,30.1337,9.5007,17.96,57,52,3.72,LY,1699669369
95,Invercargill,-46.4,168.35,18.94,34,0,2.28,NZ,1699669369
96,Yangliuqing,39.1375,116.9997,2.97,24,14,3.08,CN,1699669369
97,Juneau,58.3019,-134.4197,5.23,93,100,7.2,US,1699669369
98,Shevchenko,48.5,35.0,6.12,68,100,4.69,UA,1699669116
99,Constanța,44.1833,28.65,12.61,83,100,6.21,RO,1699669104
100,Polyarny,69.1989,33.4478,-7.33,96,65,3.2,RU,1699669138
101,New Norfolk,-42.7826,147.0587,18.84,44,51,4.94,AU,1699669370
102,Palapag,12.5458,125.1147,29.09,74,62,2.53,PH,1699669370
103,Chamdo,31.1667,97.2333,-0.11,45,100,1.97,CN,1699669370
104,Glendale,33.5387,-112.186,21.45,22,20,2.06,US,1699669089
105,Papatowai,-46.5619,169.4708,18.46,41,0,1.89,NZ,1699669371
106,Tawao,4.2498,117.8871,30.07,75,78,1.11,MY,1699669371
107,Vorkuta,67.5,64.0,-14.82,100,96,2.74,RU,1699669371
108,Vernon,50.2581,-119.2691,7.34,71,59,0.89,CA,1699669371
109,Rio Pomba,-21.2747,-43.1792,21.75,69,3,0.76,BR,1699669372
110,Ciudad Madero,22.2667,-97.8333,23.11,100,75,10.29,MX,1699669372
111,Codrington,-38.2667,141.9667,16.33,50,7,7.09,AU,1699669372
112,Balikpapan,-1.2675,116.8289,30.55,79,20,3.09,ID,1699669372
113,Kota Bharu,6.1333,102.2386,26.97,89,20,1.03,MY,1699669372
114,Yilan,24.757,121.753,24.39,96,100,1.49,TW,1699669372
115,Saipan,15.1355,145.701,31.39,66,40,9.26,MP,1699669372
116,San Luis de la Loma,17.2706,-100.8939,26.64,86,80,1.24,MX,1699669373
117,Kirakira,-10.4544,161.9205,28.42,79,100,5.21,SB,1699669373
118,Sake,-1.5736,29.045,17.04,94,100,0.44,CD,1699669373
119,Las Khorey,11.1595,48.1967,26.23,71,100,2.74,SO,1699669231
120,Tôlanaro,-25.0319,46.9987,17.04,94,40,2.06,MG,1699669373
121,Yemetsk,63.4721,41.7941,2.05,98,100,3.38,RU,1699669161
122,Arraial do Cabo,-22.9661,-42.0278,22.78,92,38,0.15,BR,1699669374
123,Coquimbo,-29.9533,-71.3436,15.41,86,0,1.88,CL,1699668720
124,Plastun,44.7561,136.2939,-2.87,45,1,6.2,RU,1699669374
125,Edinburgh of the Seven Seas,-37.0676,-12.3116,15.12,91,100,11.44,SH,1699669374
126,Hola,51.5377,23.1902,6.1,65,100,3.09,PL,1699669374
127,Vilyuchinsk,52.9306,158.4028,1.15,99,100,0.91,RU,1699669374
128,Isafjordur,66.0755,-23.124,0.31,78,84,1.32,IS,1699669374
129,Red Deer,52.2668,-113.802,1.83,74,0,4.12,CA,1699669374
130,Lauter,50.5667,12.7333,5.42,94,100,3.04,DE,1699669375
131,Thompson,55.7435,-97.8558,-0.91,86,100,5.14,CA,1699669375
132,Huarmey,-10.0681,-78.1522,19.08,87,17,3.74,PE,1699669375
133,Iqaluit,63.7506,-68.5145,-6.15,79,100,5.66,CA,1699669375
134,Linqiong,30.4159,103.4609,17.9,93,100,3.71,CN,1699669375
135,Aykhal,66.0,111.5,-8.28,60,99,10.44,RU,1699669375
136,Bima,-8.4667,118.7167,35.36,43,91,0.38,ID,1699669375
137,Boa Vista,2.8197,-60.6733,27.99,65,0,2.06,BR,1699669376
138,Ialibu,-6.2821,143.9935,21.35,38,46,3.17,PG,1699669376
139,Hawaiian Paradise Park,19.5933,-154.9731,22.73,94,100,4.12,US,1699669376
140,Kavaratti,10.5669,72.642,28.27,75,64,2.67,IN,1699669376
141,Ust-Tsilma,65.441,52.1498,-5.22,97,100,0.45,RU,1699669164
142,Ancud,-41.8697,-73.8203,9.72,88,100,11.36,CL,1699669376
143,Thongwa,16.7619,96.5278,27.09,85,100,2.82,MM,1699669376
144,São João da Barra,-21.6403,-41.0511,22.42,90,0,1.03,BR,1699669349
145,Moose Jaw,50.4001,-105.5344,-7.86,93,5,4.12,CA,1699669377
146,Kourou,5.1552,-52.6478,26.93,84,20,4.66,GF,1699669377
147,Lihue,21.9789,-159.3672,28.58,78,75,5.14,US,1699669377
148,Bayanaul,50.7889,75.6956,3.12,76,100,2.34,KZ,1699669377
149,Sirte,31.2089,16.5887,21.6,43,0,4.14,LY,1699669377
150,Castillos,-34.1667,-53.8333,15.59,92,100,8.57,UY,1699669377
151,Le Port,-20.9373,55.2919,22.98,96,96,2.05,RE,1699669377
152,Susuman,62.7833,148.1667,-24.91,98,92,0.74,RU,1699669377
153,Port Lincoln,-34.7333,135.8667,16.56,55,84,8.32,AU,1699669378
154,Kununurra,-15.7667,128.7333,32.99,55,75,2.06,AU,1699669378
155,Banda Aceh,5.5577,95.3222,27.2,80,100,4.14,ID,1699669238
156,Mount Gambier,-37.8333,140.7667,17.42,43,6,5.09,AU,1699669378
157,Wanxian,30.8039,108.3897,16.05,83,99,2.28,CN,1699669378
158,Sur,22.5667,59.5289,25.32,65,8,3.83,OM,1699669378
159,Ushuaia,-54.8,-68.3,4.81,87,100,5.14,AR,1699669284
160,Freeport,40.6576,-73.5832,8.99,77,0,5.66,US,1699669378
161,Iskateley,67.6803,53.1512,-8.88,93,96,3.13,RU,1699669378
162,Moore,35.3395,-97.4867,13.12,43,75,2.57,US,1699669379
163,Guasdualito,7.2424,-70.7324,24.15,95,100,1.57,VE,1699669379
164,Bayjī,34.9311,43.487,19.2,36,38,2.89,IQ,1699669379
165,Harstad,68.799,16.5293,0.34,95,11,1.34,NO,1699669379
166,Longyearbyen,78.2186,15.6401,-11.09,79,75,2.06,SJ,1699669379
167,Bad Bevensen,53.0833,10.5833,9.22,86,100,2.46,DE,1699669379
168,Ludington,43.9553,-86.4526,6.16,86,75,0.0,US,1699669379
169,Briançon,44.9,6.65,3.86,97,97,2.23,FR,1699669380
170,Altai,46.3722,96.2583,-12.28,87,13,0.77,MN,1699669380
171,Mandalgovi,45.7625,106.2708,-10.9,36,0,6.71,MN,1699669380
172,Daru,-9.0763,143.2092,28.43,65,25,4.72,PG,1699669380
173,Katsuura,35.1333,140.3,16.01,68,100,7.91,JP,1699669380
174,Cidreira,-30.1811,-50.2056,19.82,89,100,10.94,BR,1699669380
175,Margaret River,-33.95,115.0667,19.12,46,53,3.9,AU,1699669309
176,Oboyan',51.2098,36.2792,3.31,89,100,3.72,RU,1699669380
177,Christchurch,-43.5333,172.6333,20.85,61,0,6.69,NZ,1699669277
178,Al Bardīyah,31.7561,25.0865,19.47,85,100,2.78,LY,1699669381
179,São Gabriel da Cachoeira,-0.1303,-67.0892,23.93,95,100,1.04,BR,1699669381
180,Tazovsky,67.4667,78.7,-9.51,96,100,2.66,RU,1699669354
181,Ca Mau,9.1769,105.15,28.11,85,93,4.32,VN,1699669381
182,Mariental,-24.6333,17.9667,25.96,19,99,2.66,NA,1699669381
183,San Felipe,10.3399,-68.7425,23.47,98,100,0.6,VE,1699669381
184,Monteagudo,-19.8167,-63.9833,21.51,79,100,2.03,BO,1699669382
185,Kostanay,53.1667,63.5833,5.16,93,75,5.0,KZ,1699669382
186,Cody,44.5263,-109.0565,6.12,28,0,4.63,US,1699669382
187,Ust'-Ilimsk,58.0006,102.6619,-15.31,95,10,1.34,RU,1699669382
188,Amvrosiyivka,47.7935,38.4777,4.43,83,100,3.55,UA,1699669382
189,Mandera,3.9366,41.867,25.77,75,65,3.54,KE,1699669382
190,Nagqu Prefecture,31.5,92.0,-4.01,69,100,1.62,CN,1699669383
191,Benemérito de las Américas,16.5167,-90.6439,25.12,77,91,0.4,MX,1699669383
192,San Andrés,12.5847,-81.7006,28.01,94,40,5.14,CO,1699669383
193,Shira,54.4911,89.9531,-8.91,94,100,1.35,RU,1699669383
194,Kingston,17.997,-76.7936,29.53,83,20,5.66,JM,1699669140
195,Taroa,8.7058,171.2275,27.1,85,100,10.78,MH,1699669383
196,Ripoll,42.2006,2.1903,8.1,93,10,0.45,ES,1699669383
197,Kailua-Kona,19.6406,-155.9956,27.98,80,100,3.09,US,1699669329
198,Fortaleza,-3.7227,-38.5247,28.93,71,20,6.17,BR,1699669384
199,Alice Springs,-23.7,133.8833,34.75,23,0,5.66,AU,1699669384
200,Senhor do Bonfim,-10.4614,-40.1894,22.48,65,0,2.84,BR,1699669382
201,Romanovka,51.7443,42.7527,2.5,92,69,2.05,RU,1699669223
202,Ta`ū,-14.2336,-169.5144,27.85,79,26,2.26,AS,1699669384
203,Madera Acres,37.0191,-120.0668,17.08,66,0,0.0,US,1699669384
204,Queenstown,-31.8976,26.8753,19.5,28,100,2.1,ZA,1699669384
205,Beryozovo,63.9381,65.0419,-0.46,99,100,2.52,RU,1699669385
206,Amursk,50.2261,136.8994,-5.57,71,100,1.41,RU,1699669281
207,Bo`ka,40.8108,69.1986,10.14,36,100,0.79,UZ,1699669385
208,Santa Terezinha,-29.9002,-50.0904,19.69,92,100,8.9,BR,1699669385
209,Naryan-Mar,67.6713,53.087,-8.83,93,96,3.13,RU,1699669108
210,Minas de Marcona,-15.2119,-75.1103,15.27,87,65,4.85,PE,1699669385
211,San Patricio,28.017,-97.5169,16.58,90,100,4.55,US,1699669385
212,Weno,7.4515,151.8468,29.97,84,100,4.12,FM,1699669385
213,Khandyga,62.6667,135.6,-29.34,97,80,0.2,RU,1699669386
214,Boali,4.8005,18.1275,21.78,97,99,0.5,CF,1699669386
215,Gandiaye,14.2333,-16.2667,23.88,43,52,3.38,SN,1699669386
216,College,64.8569,-147.8028,-8.03,85,100,4.12,US,1699669386
217,Impfondo,1.6381,18.0667,22.31,98,100,0.85,CG,1699669386
218,Nuuk,64.1835,-51.7216,-5.66,73,23,6.71,GL,1699669247
219,Balabac,7.9868,117.0645,29.51,71,100,3.81,PH,1699669387
220,Mejit,10.2753,170.8646,27.6,84,100,9.0,MH,1699669387
221,Mount Pearl,47.5166,-52.7813,2.86,92,75,11.83,CA,1699669387
222,Zhigalovo,54.8097,105.1578,-12.52,82,33,0.3,RU,1699669387
223,Kidal,18.4411,1.4078,25.43,13,80,2.76,ML,1699669387
224,Lávrio,37.7145,24.0565,19.3,88,100,6.04,GR,1699669387
225,Maych’ew,12.7875,39.5422,10.77,87,77,1.96,ET,1699669388
226,Undurkhaan,47.3194,110.6556,-17.84,89,100,2.47,MN,1699669388
227,Shingū,33.7333,135.9833,15.82,56,98,1.97,JP,1699669388
228,Sabha,27.0377,14.4283,20.62,31,0,2.54,LY,1699669388
229,La Malbaie,47.6575,-70.1559,3.3,86,100,2.41,CA,1699669388
230,Londa,15.4691,74.5191,22.63,88,48,2.4,IN,1699669388
231,Sretensk,52.2453,117.7093,-10.3,61,42,0.9,RU,1699669389
232,Beşiri,37.9184,41.2924,7.75,93,0,1.03,TR,1699669389
233,Saldanha,-33.0117,17.9442,13.03,89,100,5.36,ZA,1699669389
234,Acapulco de Juárez,16.8634,-99.8901,27.35,83,51,1.26,MX,1699669389
235,Baijiantan,45.6333,85.1833,3.7,96,100,1.45,CN,1699669389
236,Inírida,3.8653,-67.9239,23.59,91,87,0.67,CO,1699669389
237,Shyryayeve,47.3805,30.1964,11.09,79,100,8.18,UA,1699669390
238,Sarmiento,-45.5882,-69.07,13.89,38,100,7.88,AR,1699669390
239,Maxixe,-23.8597,35.3472,20.34,78,0,2.97,MZ,1699669390
240,Kapuskasing,49.4169,-82.4331,-2.95,93,100,2.06,CA,1699669390
241,Howrah,22.5892,88.3103,23.0,78,20,3.09,IN,1699669390
242,Puerto Carreño,6.189,-67.4859,27.25,82,90,1.25,CO,1699669390
243,Thinadhoo,0.5333,72.9333,26.88,84,63,5.22,MV,1699669390
244,Youhao,47.8667,128.8333,-9.63,74,40,2.11,CN,1699669391
245,Tiznit Province,29.5833,-9.5,19.58,34,0,1.03,MA,1699669391
246,Utrik,11.2278,169.8474,27.58,83,100,9.47,MH,1699669391
247,Enewetak,11.3474,162.3373,28.66,76,88,7.8,MH,1699669391
248,Dampit,-8.2116,112.7493,29.35,59,24,2.37,ID,1699669393
249,Punta Arenas,-53.15,-70.9167,7.06,81,100,5.14,CL,1699669278
250,Maasin,10.1336,124.8447,31.09,69,7,0.89,PH,1699669394
251,Tutóia,-2.7619,-42.2744,26.56,81,2,7.65,BR,1699669394
252,Jayapura,-2.5333,140.7,33.66,73,100,3.52,ID,1699669394
253,Ulladulla,-35.35,150.4667,34.87,43,20,5.67,AU,1699669394
254,Dakhla,23.6848,-15.958,19.86,82,5,7.56,EH,1699669395
255,Tual,-5.6667,132.75,27.99,77,66,4.29,ID,1699669395
256,Lata,40.1629,-8.3327,17.26,99,100,2.47,PT,1699669395
257,Oban,56.4127,-5.4706,6.29,84,20,1.82,GB,1699669395
258,Santo Antônio do Içá,-3.1022,-67.9397,24.12,95,96,1.2,BR,1699669395
259,Killarney,52.05,-9.5167,5.42,90,66,0.97,IE,1699669396
260,Santo Antônio,-6.3106,-35.4789,22.82,81,10,3.17,BR,1699669396
261,Vila Velha,-20.3297,-40.2925,24.97,88,20,3.6,BR,1699669396
262,Cao Bang,22.6667,106.25,25.62,79,93,2.02,VN,1699669396
263,Lodja,-3.4833,23.4333,19.6,97,93,0.51,CD,1699669396
264,Dalby,-27.1833,151.2667,28.41,33,0,3.22,AU,1699669396
265,Ţubarjal,30.4999,38.216,21.19,37,78,3.1,SA,1699669397
266,Palora,-1.7,-77.9333,18.78,96,98,1.11,EC,1699669397
267,Marabu,4.4148,114.0089,25.08,94,40,2.06,MY,1699669397
268,Jiayuguan City,39.8167,98.3,-4.99,30,0,2.62,CN,1699669397
269,Tofol,5.3248,163.0078,26.88,83,100,5.14,FM,1699669397
270,Port Blair,11.6667,92.75,28.02,83,40,2.06,IN,1699669397
271,Pariaman,-0.619,100.12,27.03,86,93,0.67,ID,1699669397
272,Penzberg,47.75,11.3833,4.91,90,100,1.34,DE,1699669398
273,Pisco,-13.7,-76.2167,18.03,94,0,5.14,PE,1699669398
274,Crane,31.3974,-102.3501,11.86,56,100,3.97,US,1699669398
275,Kabompo,-13.5927,24.2008,18.32,86,99,1.88,ZM,1699669398
276,La Passe,45.5549,-0.8967,9.99,72,100,2.92,FR,1699669398
277,Nova Sintra,14.8667,-24.7167,22.45,68,42,2.89,CV,1699669399
278,Bocas del Toro,9.3333,-82.25,24.44,89,81,2.24,PA,1699669399
279,Sinabang,2.4803,96.3801,26.82,79,100,0.51,ID,1699669399
280,Rosa Zarate,0.3333,-79.4667,23.69,92,100,0.77,EC,1699669399
281,Al Khārijah,25.4514,30.5464,24.96,39,100,3.96,EG,1699669399
282,Freetown,8.484,-13.2299,25.58,81,100,1.23,SL,1699669399
283,Son La,21.3167,103.9,24.04,79,36,1.57,VN,1699669156
284,Tysmenytsya,48.9022,24.8448,4.78,77,99,1.52,UA,1699669400
285,Bloemfontein,-29.1211,26.214,14.71,67,53,1.03,ZA,1699669400
286,Marsá Maţrūḩ,31.3525,27.2453,19.11,88,40,0.0,EG,1699669400
287,Nemuro,43.3236,145.575,4.44,58,37,11.69,JP,1699669400
288,Meadow Lakes,61.6247,-149.6011,-1.06,93,100,0.0,US,1699669400
289,Māgadi,12.9667,77.2333,22.09,81,12,2.58,IN,1699669400
290,Yamada,39.4667,141.95,8.92,44,47,3.71,JP,1699669401
291,Yankton,42.8711,-97.3973,2.29,75,0,2.57,US,1699669401
292,Maun,-19.9833,23.4167,25.57,41,100,5.46,BW,1699669401
293,Kerikeri,-35.2268,173.9474,18.63,57,24,3.81,NZ,1699669323
294,Lompoc,34.6391,-120.4579,15.56,85,0,12.07,US,1699669401
295,Dudinka,69.4058,86.1778,-5.21,95,100,8.49,RU,1699669401
296,Palmer,42.1584,-72.3287,6.21,78,75,0.0,US,1699669401
297,Kapaa,22.0752,-159.319,28.99,83,75,5.14,US,1699669401
298,Vila Real de Santo António,37.195,-7.4177,16.81,87,2,0.95,PT,1699669402
299,Lobito,-12.3481,13.5456,25.05,76,100,2.23,AO,1699669402
300,Vilhena,-12.7406,-60.1458,24.0,70,36,1.59,BR,1699669158
301,Lebu,-37.6167,-73.65,11.74,78,100,9.32,CL,1699669402
302,Gargaliánoi,37.0667,21.6333,16.86,84,97,3.91,GR,1699669402
303,Kuršėnai,55.985,22.9189,5.14,95,100,2.91,LT,1699669402
304,Macao,22.2006,113.5461,26.85,83,40,6.17,MO,1699669402
305,Viedma,-40.8135,-62.9967,17.32,72,100,11.59,AR,1699669224
306,Hammerfest,70.6634,23.6821,1.25,93,40,4.63,NO,1699669403
307,Camacupa,-12.0167,17.4833,17.47,92,100,1.05,AO,1699669403
308,Milići,44.1711,19.0903,5.65,96,100,2.23,BA,1699669403
309,Buda,30.0852,-97.8403,14.15,92,100,0.89,US,1699669403
310,Gijang,35.2442,129.2139,9.85,48,65,3.89,KR,1699669403
311,Inhambane,-23.865,35.3833,20.92,76,0,3.39,MZ,1699669404
312,Trairi,-3.2778,-39.2689,26.32,75,21,6.22,BR,1699669305
313,Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,-6.91,76,100,6.96,RU,1699669404
314,Lerwick,60.1545,-1.1494,6.0,75,100,9.54,GB,1699669404
315,San Luis,-33.295,-66.3356,15.48,84,88,10.08,AR,1699669135
316,Carlsbad,33.1581,-117.3506,17.93,64,0,1.54,US,1699669248
317,Gilgit,35.9221,74.3087,6.36,51,1,1.99,PK,1699669405
318,Tannum Sands,-23.9504,151.3693,29.3,54,40,5.66,AU,1699669405
319,Zvishavane,-20.3267,30.0665,17.9,70,0,0.83,ZW,1699669405
320,Takhatgarh,25.3333,73.0,20.51,27,0,1.77,IN,1699669405
321,Hinton,53.4001,-117.5857,-0.01,71,53,2.2,CA,1699669405
322,Happy Valley-Goose Bay,53.3168,-60.3315,-2.83,80,75,4.12,CA,1699669405
323,Konark,19.9,86.1167,23.22,69,7,3.45,IN,1699669405
